Ilcaehwf	.cnwkuDwm (.db)	n	
cnuhejwlehwf	.cnuhejihef.(.s.N)	m	
ilehwf	.cnwkuDwm (.db)	n	
irEhwf	.irwhwf (.d)	n	
WyirEhwf	.Wyirevwhwf (.t)	n	
iLohwf	(iLoaiawmoa  ,iLoaegelik ,iLoa egcniLukcsum ,iLoa wncnwrugwa  ,iLoawDuk) iLoacswf (2) .ctogWyik wmwniawgukea  cSwa (egWrwhwd ,egWnWlev ,egctwfWm ,egWrukwh  ,egWnEmiSod) .iLoacswf egcnurwkcswa (1)	n	
cnuvcaea iLohwf	!Wtcaehwvud ELua cnegevcaea  iLohwf udwaim !Edcawa :ulWsim .caetog Wnub uriaELua  cnegevcaea cSwkwnwt cnuhImukwywb iawguhia :uzWjwM	m	
cnwSwf	.uDnwgiDukwl ugid inwh  Wbcait iawgILwmwk cnwncnwb urwhwfinOdiDoa	n	
cnuTcaehebcnwSwf	.cnubcait caeDnwgiDukwl  ugidinwh iawgILwmwk cSwmunwb urwhwfinOdiDoa	m	
uDnwkcnwSwf	.UDnwk WrukcnunEb cSwnwSwf egurwhwfinOdiDoa	n	
uLwvcnwSwf	.cnwt Wviawfenok cnumib cSwrwv  EbilwgWj egunwSwf iawkwTcSwmunwb urwhwfinOdiDoa	n	
cnumedcnwSwf	.cnuTcaeheb cnwSwf	m	
cnubcaitcnwSwf	.cnurukurwh cnwSwf iawgItwmiLwmwk	m	
cnulcnwSwf	.cnurukurwh caenwSwf cnulwa  cnegevWb wtwvun cnegibil caemulcaeg cSwnwSwf	m	
iawLwSwf	.ibnwt (.db)	n	
cnutwgiawSwf	.cnuSefcnwruk	m	
orwvwSwf	.caeDnwgiaoa  wncnoa cSokwdwg iawgIriawk eguSwr (.N)	n	
uLWvwSwf	.WhImWhwf	n	
cnwkuLWvwSwf	(.caeaWfIzwv  Wvcaed cnurWkurws iawguhia) cnwkirev egumuhef	n	
iSokuLWvwSwf	.caeTcaok egumufih cSwycawbwdwg	n	
wlwSwf	.cnuruh wncnuh cSwSwfcSwf (3) .caeSwf cnukwtcSwf  wncnuh cSwtogim iawgumudefua wtwvun iawgumudcaefua  caeCcaea (2) .cnulufua wncnuh cSwtogea wtwvun wyiL  ugid inwh wncnuh iawgIDwa wtwvun iawgItwm wtwvun  iawgurEb egcaenwt wtwvun egcaeCcaea (1)	n	
iawgwSwf	.ibnwt (.db)	n	
cnutwgwSwf	.cnutwgiawSwf (.s)	m	
cnuhejwSwf	.cnuhejctwf (.s)	m	
cnuTcauhWSwf	.cnunidiawTcauh ,iaWmunid iawSwf cnwkea ukwhImWv  cSwkwmWmia iawgumwkcnwkwdwf Wdurub udUlWm urukiz	m	
csIvWSwf	.cSwfinwh WLwa iawgIriawk egIheCcaea wdwfilWhin	n	
iSwf	.evekeycawb Ehej cSwncnIdukwDuk  cSokwBcaWK Iaim .caeycawb egumwh (.N)	n	
oyekcnwbIliSwf	.oyokubnwb wncnuh iawfiawkcaih  cnegiawvulea iawgEa iawmwd caeCcaea wdwf caeSwfunOr  iawgubWsih WrOf unUh egunudnua (.s)	n	
uaekIliSwf	.uaekcnwb IliSwf (.s)	n	
uaescairuSwf	.oyescair  (2) .evekeCcaea egiawluk UdnIr cnod ELua  cSokcnuneb cSwhEb Iaim .cnwn Wyik cSwaea cnumuaid  cnegiDnek ufoa egEa evurwm wkwrWhiv (1)	n	
iauSwf	.ivuSwf	n	
WmuriauSwf	.Wmur wncnuh iawfeyiv cniauSwf	n	
idoriauSwf	.idor Wdwh cniauSwf	n	
inwrwbiauSwf	.inwrwb wncnuh iawfiawdwh cnidor iauSwf	n	
cswbiauSwf	.cswb cnWmoa ,itIr	n	
uLobiauSwf	.iauSwf wncnoa iawfiawLoa cSwkwtogikwv	n	
cnwkiauSwf	.cnwkivuSwf	nan	
cswmurwkiauSwf	.caehwmurwf WvIh  cnehcaeDnwgiauSwf egiawluk ulwmubcnwj uDnwgurwk	n	
csWbiliLeaiauSwf	.caetwvWb egItof  WDnwk csWbil wncnuh iawfeyiv cniauSwf iaWyua  unuLua iawlcsWbil iawguhia cnunehcnwa ihevid	n	
inwfiauSwf	.inwf Edefua iauSwf	n	
uncnwfiauSwf	(itekwt wdwfcneL ,unUmuzwm ,ckizuaim ,cnugenWDnwk  ,cnuheruk :ulWsim) .uncnwf egumudcaefua  iheCcaea ,whEswf cnwhwauDwa ,itIr cnwlWlwb	n	
uTcawfiauSwf	.caeawSof Ilcaudctwa iawgutWrwfed	n	
cnWrEfiauSwf	.unuawncnwa egItofiauSwf	n	
itofiauSwf	.itof wncnuh iawfeyiv cniauSwf	n	
uDnwgiauSwf	.iauSwf wncnuh iawfWruf	n	
ctogiauSwf	.ctogcnWmoaitIr :uzWjwm	n	
ivuSwf	.caekwtcSwfwmih Edefua cniawvwd egInwfiauSwf	n	
cnwkivuSwf	.cnwkiretctwGWlwb (5) .cnwkwlwn (4) .cnwkulWC  (3) .cnwkcnWmoa itIr :uzWjwm (2) .ctogulcBwa  wncnuh iawgItof ivuSwf iaWvctuSwf (1)	nan	
cswmivuSwf	.cswmurwkiauSwf (.N)	n	
ctogivuSwf	.ctogiauSwf	n	
UfuSwf	.itea wncnoa iawguluf eguSwf WLwa Wgurwk	n	
cnWrEfuSwf	.ilEfuSwf (2) (itofWDnwkwdid) .caeCcaof  iLwhOd wncnuh cSwrwtcawv irehek ,wlwfiaua (1)	n	
ilEfuSwf	.itofWDnwkwdid	n	
USwf	.ivuSwf (.s.N)	n	
itofUSwf	.itofivuSwf (.s)	n	
cSwf	.iLua (6) .cnuvef wncnuh iawfiawvwf cSokugidwmih  cnukwawluk utWfwt iawgIheCcaea wtwvun iawgunwtcnwt  (5) .caeawb cniaea uriawncnuh iawfiawLwm iheCcaea  wdwf itof (4) .caerwhwf egcaemwk emcnok Wgnih  cSwtogWvurWrukwt (3) .urwvcSwf wncnuh iawfiawdwh  cnitekwt InwduAwm cnwLwa iawgurwk (2) .caeLokitea  ugid egcaeCcaea wdwfurWvcnwk ,unOr ,idor (1)	n	
WdcnorWgwncSwf	.Wdcnor WrukcnunEb cnwgwncSwf cniDukwl	n	
cnugencSwf	.cnugeniawDnwk  cSokugidwmih cniriawkegEa ,cnukwrWyitwh unUt  iawkwTcSwmuruk iretctwnIz wtwvun iawkwTcSwmudcnia  cSokcnumih itekwt wdwf iDukwl iaWlwg	m	
cnurukcSwf	(.cnuruk  urwhwf wnig eruvcSwrwhwf caea) .cnurukurWrukwt  (2) .cnurukcaea cSwfwnig eruvcSwSwfcaea (1)	m	
cnuDnekcSwf	.cnuvirub caeSwf (2) .cnuvuAWmij ednia  WkwhImcnehea ukwnehcnwa WviawfevcSwfcnit (1)	m	
cnulcSokcSwf	.ctogiaul eguhwbim cnurukcSwf (3) .cnulWrugum cDOker  (2) .cnuvcSwd WhImIruk cnubwbws egumuruk ukwkenwa  cSwLom eruvcSwrwviruk ukwkea caemwkcaea (1)	m	
csImwgiLeacSwf	.eveawfWLwa  caeSwfwmih cnitofuLwk iawgcaeawb eguSwfiriawk  egItwfcSog iaWycawguSwf iriawk egunWvurig  Inwncnuh csImwgim (.evekehImwg uduh Iaim) .caehImwg  ctoa iawfiveruk wBcaWK cSwncniawfis egEjcaWr	n	
cnuLeacSwf	.cnuLea caeSwfitof  cSokinwhinwh iawguSwfiriawk egItekwt wdwfuLwvOb itof  (3) .cnurukurwh caeSwfitof inwh cnukwywluk utWfwt  iawgumudeh (2) .cnuLea cSwf iawgurwk (1)	m	
WrukcaeacSwf	.WhImWrukcaea cawtiLua egulwv uriaWLwa Wv	n	
urwvcSwf	.caeawb egcaeSwf (2)  .caeSwf WviawfcSokikwv cniawb urwTcSwf (1)	n	
cnuvcSwf	!Wlwb wnWm wnwv (1) eguhwbim cnulcSokcSwf  (2) .cnuvcaemwk cnegidividiv (1)	m	
WTcawhwlwbitwmcSwf	.WhImwncnuh  cnEdun wnuhej WaiLuacaenwa iLuacaea uriaWLwa Wv	n	
cnuSwfcSwf	.cSokurWrukwt	ak	
cnurukcSwfcSwf	.cnurukurWrukwt cSwCcawmitwm	m	
cnuvcSwfcSwf	.cnuvcnegidividiv (2) .cnuvurWrukwt (1)	m	
cnuhejcSwfcSwf	.cnuhejUr eviDnwbiDnwb  caeCcaea Wviawfiawdwh cnukwCcaea wdwfutcswj (2)  .cnuLem caeCcaea cSwtogEnWncnuh cSwSwfcSwf (1)	m	
cnuvulifcSwf	.cnuDnekcSwf	m	
iDnwdcSwf	.evencnIriawk eguSwd  egWlifctwfwruk eguLokWbnurid Inwncnuh iawfiawmwd  cSwfim .caeSwf Wmwd iawgurEb egurwhwfiDoacswm	n	
uDobcnwdimedcSwf	.evekehwm wncnuh caeSwfWLuf egiawluk  iSumwdwg cSwtogWvcSwhwruh eguhwm iawguLok egutwfWturwk  eguhwm ,ctwr ,uDnwfwluk Iaim .caehwm ELua cniawnig  iawgulwvin egukwtwkwrum eguLwfuLwf iaWrwfurwf	n	
cnumedcSwf	.cnuvef caeSwf  cnukwywluk utWfwt ,iawgcaeCcaea wtwvun iawgcaenwt	m	
cnubilcSwf	.cnuvulisWh caenWxin  Eved cnutog egumurukwgwhWf cnwkea cnumuaid  cSwCcawm cSwkwrwvikwv ukwhIm cniaeret egcaeawb	m	
uDnwgcSwf	.cSwfWhwj cniDukwl Itwmcnwkitwm egurwhwfinOdiDoa	n	
cnuhejuDnwgcSwf	.cnurukcsua iawhwjWlif  iawkwTcSwmuvurea Wdumwnig ,uriaWrukurutwd elWm  (2) .cnuhej caeawlif iawgItwm cnwkitwm cSwkwlwkcawr  cSwLWr cSwmusUm wdwguDnwk uriaWrukurutwd (1)	m	
oDnwgcSwf	.ctwfwncnia  wncnuh cSwtogELeaWgwn iawgurwhwfinOd udwv  (3) .caeawb egcaetwf eguhwguaek (2) .uDnwgcnwf Whwj  iawgItwmcnwkItwm egurwhwfinOdiDoa (1) (.s.N)	n	
ilEgcSwf	.cnwkwyom (.db)	n	
cnuhejcSwf	.cnuhejcSwf itekwt wdwfWnuk  ,Wyir ,cnWrEf :ulWsim .cnubnel cSwSwfcSwf	m	
iridnwf	.WhIm Wrukctwkcawswm iawgunWmurwf ubnuk  (2) .eveawgItwm uDnwgWlif wrUbcnwj InWncnoa  im .caeDnwgWlif wncnoa cSwrub iLwfudnwh  iawgubWsih Whcaedem egubnuk eguvwn (1)	n	
uDnwgiridnwf	!WlwbwnWm wnwvcaea eguhwbim "iridnwf"	n	
cnIridnwf	.cnuhIm Iridnwf	n	
cnuhImIridnwf	.cnuhImWdwh cSokctWlWa  iawrwa cSwnWmurwf ubnuk egurwhwfWnWn	n	
udnwf	.eretea eg uDnwgcswmwlwf	n	
ihiDnwf	.caurihiDnwf	n	
caurihiDnwf	.caur egcaeawluk egudemed Wkurutwr iaWkurulun	n	
cnwkctwaiDnwf	(cnwn egcaeycaok itwgcnwk) .cnwkcaiDnwf	n	
urWyiDnwf	.WhIm WLwawDnwkWyin  (5) .umikWH (4) .IFWq (3) .WhImWruk  ufWscnia udemWkwmwk (2) .WhIm Wmcnin iawlwb  cawtcawtcnwk Wgnih iawgudemed egcaemcBwKed (1)	n	
cnwkurWyiDnwf	.WfIzwv egcaerWyiDnwf  (2) .ctwkcawswm egcaerWyiDnwf (1)	n	
iDoaurWyiDnwf	.iDoa unWfegelik  udiycaws .iDoa EgIritwa ,iDoawrWDcnwb :ulWsim  .cnwn egcaeaiDoa irukcnunEb iawgumwkea urwvcswvud  unuLua iawliSot cnitwm iDoaiDoa iawgElWm	n	
iLoturWyiDnwf	.caetwvWb egILot ELua iawgudUm	n	
egurWyiDnwf	.uzwkurwm csia emcnea  Wgcnih cawtcnwk egutwAIrwx iawgEjcaWr iawguhia	n	
uDnwf	.urwswa  egumulim wncnef cnitwmunUm (4) .wDukcnwkuLWf  :uzWjwm (3) .wDukcnwkilwa (2) .uDwmwluk (1)	an	
cnwkuDnwf	.cnwkwncnef urwswa egumulim  cnitwmunUm (4) .cnwkwDuk cnwkuLWf (3) :uzWjwm  .m .cnwkuDwmwluk (2) .cnwkuDwmilwa (1)	an	
wlukuDnwf	.wlukuDwm	n	
cSokuDnwf	.urutiacnwk eguhwbim "uDnwf"	ak	
ilwauDnwf	.ilwauDwmuDwm	n	
cnuvuDnwf	.cnuvuLWf urwswa  egumuliv cnitwmunUm (4) .cnuvwDuk cnwkuLWf :uzWjwm  (3) .cnuvwDuk cnwkilwa (2) .cnuvuDwmwluk (1)	m	
oDnwf	.uDnwf (.s.N)	an	
whwnwf	(caeSwacsILWs) cswnwf (.N)	n	
cnureacSwnwf	.cnurea cnwdin Wh uLukuk (2)  .cnuaid cSwnwt Wvcnwncnuh cnwf WhIm WLwawDnwk  cnwncnuh iawgutog egcaenwf uriaELukcnwf (1)	m	
cnuaidcSwnwf	.cnurea cSwhwgcswg  cnwdin Wh uLukuk :uzWjwm (2) .cnuaid cSwkwSwr  wtwvun cSwaeretulwv egcaeSwr cnwdOhcnwf (1)	m	
wrwnwf	(caehwfwhidcaea) caedwdwA egubWsih	n	
cnurufwrwnwf	.cnuvwmwhiruf evuDob (3) .cnubil  ufIlukwt :uzWjwm (2) .cnuvurwhwa wrwnwf (1)	m	
iaofWrwnwf	(.wrwnwf ,wdWs ,wrEt eguhwmudnwh) .iaofudem	n	
Wkwnwf	.whwrwt (.db)	n	
iawnwf	.wmwyih (.N)	n	
clwgiawnwf	.WgWnwf (.N)	n	
iLwvwnwf	.uLwvcnwf (.l)	m	
imwnwf	.irWl (.db)	n	
iDnwdulwnwf	.ctir  WrukcnunEb iawguLokWbnurid egInOd (.s)	n	
cswnwf	.caeSwa csILWs	n	
Wnwf	.eveawfiawhwm caeaiDnwd cSwnwtea ,iawfurot caeLwvOl  iawgudem ,cSokWtwf ,cSokcSwv ,InWncnoa uawgim  .caelwg WrukcnunEb iawgulwdwb egIligwn cSwmuLea  urwhwfinOdiDoa (3) .cnuaidWditen caeCcaea (2)  .urwm Wv caeCcaea emcnok Erid ,iaWnuhIm (1)	n	
cnulihWnwf	.cnulEh ukwjcaukwDuk ctoa iawfiawdin  :uzWjwm (2) .cnuliawDug cnunwtctoa Wnwf (1)	m	
urWnwf	.itcawb  wncnuh iawfWdwh cSokcsua cSwtogwncnef cSwrud	n	
cnurukWnwf	.cnuliawrwm  (3) .cnulcSokukWlwh (2) .cnuliawtcawn (1)	m	
cnuhejWvWnwf	.evekelwv Whwj iawgulwnwf  iawgumunEb WhwjWvutwd iawgIligwn Iaim .cnudcaeb  caelwv cSokcaeaWlwg iaWaiDnwd egulwnwf	m	
cnuvWnwf	.cnuvWnWriv  (3) .cnuvurwm (2) .cnuaiditen (1)	m	
cnuaidevWnwf	.cnuaid evWnWrIv  (3) .cnuaiditen (2) .cnuaidevurwm (1)	m	
cnuniacSwCcawmWnwf	.cnunia WlEh ukwhIm uDnwgEr cSwmuleb ctog WvcSwaea  uriawncnoa iawfcSokurwdnwb urwhwfinOdiDoa	m	
itwmWnwf	.itwmuLwm uLokWbnurid emcnea egurwhwfinOdiDoa	n	
iDnwdWnwf	.iDnwd wncnuh iawfiawhwm cSwdem egulwgWnwf	n	
cnulWnwf	.cnulcSwdUm Wnwf  iawkwTcSwmurukurwycawh iawgWtcnwt urwhwfinOdiDoa	m	
cnulWnwf	.cnulcnWf	m	
uawgWnwf	.caeCcaea Wkinof Wdwh cnegiawlih  iawgiawfis egcaelwgWnwf (2) .WgWnwf (1)	n	
ekeDWnwf	.caeDnwgcnwf (.g)	n	
inwf	.inofWr (.s.N) (3) .inwf egIlwbilwb ikeaikea  .inwfWlik :ulWsim .eveaeruh cSwrwvurwv ikeaikea  cawturwtcawv utWfwt egIm .caepctUsErid (2)  .inwfulufuf ,inwfugWs ,inwf ulugwbcsia :ulWsim  .eveaeverukurWycawtim csevcnegcSokcaea cawtctwvWb  utWfwt .caemiaub Wkcawk wtwvun ,Wrig cnegiawLwa  urukwh cSwaeret egunef cSwrwvWlwhwr inof (1)	n	
idnwhinwf	.evekehwm Wvud cSwrWb cSwrwv  wncnuh cSokitwf Iaim .caetwvWb egIdnwh	n	
urukwhinwf	.inofWr	n	
idnWhinwf	.idnwhinwf (.N)	n	
cnuvurihinwf	.cnuvIh cnehWvurihinwf  cnunwtcnwt caeawb egISwh eretea cnubwbws  egumuviawbunEl iaWncnumuvUgwdnua egInwf	m	
cnurihcnehErihinwf	.cnurukctWkwrwH  cnuhwlcswlWm uriaWrukcawtcnwk :uzWjwm	m	
Wvehinwf	.Wveh wL emcnea	n	
ileDnohinwf	.iheCcaeawL emcnea egIleDnoh	n	
iherinwf	.iheCcaea idukemcnea egIher	n	
urokObinwf	.eveauDnwgEr InESef cSwmuhejiLuk  uLwgnwr .evekemwk Wruk iawkwTcSwmulun WDnwkudem  Iaim iLuk Whwj emukun cnuhIm egiawdWa egISok  iawgukwt utugwvcsuh egulWvud ,iawgEret Wmws	n	
cswkinwf	.eveaev ctogWgwn csevcniawg iLum wmwnejcaev  cswvudwnig ibilun Wvurwf cSwhwkim .eveaeruh  csevcaeNcnwf egiawlukuduh iawguhwkim .caehwk Edefua  iawgEretEd cnwhed egiawlitctwa egcnidukwDuk	n	
cnuaekinwf	.cnufurot iheCcaea inwf	m	
cnunokinwf	.cnunokurwh egEa inwf (2) .evencnunwtcnwt  wncnuh iawfikih iawgItwmuLwf wtwvun ,cnuSoduDnog  uriawncnoa iawfikih urwvwyid InWgwn inwfim  .cnugen cnegenok caeNcnwf WrukcnunEb cSwmuLea  iawgILub iawgutog eguDnwgcnea cSwmunEbcswm (1)	m	
cnwrWainwf	.evekeCcaea  wncnuh iawfcSokctwt iawgurukwh iawrugum iawscawjWm  UDnwhInWncnuh iawgEretea egIm .evekeCcaea wncnuh  iawfiawdwh iawgiawfis egWsObcnws cnegiawscaua  cSufuluDnwh Iaim .caeCcaea Wkideh inof	n	
cnuLeainwf	.cnudefua caeawbun iawgEret egcaeawb :uzWjwm (3)  .cnudefua inwf cnubwbws egcaeycawb EhejcSwhwgcswg  wlwhwk caeawb (2) .cnudefua inwf iawgEret  egEa csogcnegeviawbun iheCcaea wlwhwkcaeawb (1)	m	
cnuDeainwf	.cnuscaoa  inwf wncnuh iawfiawdwh cnegiawLwa urukwh ,inofWr  [.N] (2) .cnuLeainwf (1) (.s.N)	m	
wrwvinwf	.inwfcaea ELua iawguniawa cswm (2)  .cSwfWLoa iawgudemed ubnuaed ,uriaWrukcaeaiawbed  egIdwb egcnirevWr (1) (.s)	n	
cnuhejwrwvinwf	.cnurukirit inUd  ItwmuDnwk cSwNcnwfcnea ELua iawguniawa cswm	m	
cnuhejiawvinwf	.cnuhejiawv cnuDwmuDwm (.a)	m	
cnuvinwf	.cnudefua inwf iawguDnwb	m	
wsukwfinwf	.iheCcaea idukiduk wncnuhun El Erohoa  cniaeretegItekwt ivcauLeawnWruf ELua iawgumwgcaea	n	
wscKwfinwf	.wsukwfinwf (.s)	n	
cnubilcnefinwf	.cnubil  idOrcnef (2) .cnubil caeCcaeaWk (1) :uzWjwm	m	
cnuhejcnefinwf	.cnuvctogErid udofcnef udofinwf  .cSwkwhIm WviawfevwredulWH cSwrwvEridun caeCcaea	m	
cnunidinwf	.cnunid caemiaubinof cnutog egumuyik  Wbwhurwm cSwkwywb wncnwa cnegIdutwvuAwd (3)  .cnunid csogcneg caemiaubinof cnutog egumunid  urwvctih ,cSwkwywb Wrukctwkcawswmea ,uriaWruk  ctwkcawswm wlwhwk caeawb (2) .cnunid caemiaub  inof inif cSwkwywb wtwvun cSwkwhIm (1)	m	
iridinwf	.UbnELWm (.m)	n	
ugnorWvudinwf	.ugnor  wncnuh iawfcSokurutwdinwf iawgEreteguDnwgcswf	n	
uLokiSwtinwf	.caeawvwl egurebiDnwd  (2) .ctogWnub cSokctWm cSwTcawtinwf (1)	n	
cnuhejun ikitcnef ikitinwf	.cnuvwred ulWh egWhIm cSwrwvEridun caeCcaea  csevcaea :uzWjwm	m	
cnuvelinwf	.cnutukun inwf uriaWluDoh wtwvun uriaWdumwkuDob  cnuhIm wtwvun cnidukELua cnegevinwf	m	
cnuriginwf	.cnurukurWycawtinwf	m	
cnureginwf	.cnuriginwf (.s.N)	m	
cnuvoginwf	.cnuviauDwa egiawsukwfinwf uDnwgEr	m	
cnwrWyinwf	.evekeCcaeainof WyikuDWt  InWncnuh iawfiawLwa cSwaeret egIm .caeCcaea Wdwh  iawfiawrubnwa cnut cSwkwtogurwtcawv iaWaiLofwtwf  urukwh inuh iawguSuf cnwdog wtwvun UDnwh	n	
ubWlcauj Inwf	.caehEb Ed cSwmurukufWsuDnwb WmIvinwf	n	
csEbInwf	.eveaeruh iawgutog  eguhEb Wyid ,iaWycawgutog eguhEbwLug csEbim .csEb  WrukcnunEb cSwmuvctwtWlws cninwf cnumuvinwf	n	
uDnwgwfwkInwf	.caeDnwgwfwk  csEb WLwa iawgulob WmIvinwf cnidukwDuk	n	
cnuLukInwfInwf	.eveaInubilinwf  cnumulctwa iawgiawgWnEa .evemuaid cnegiawfih inwf  Iaea .eveaInwncnwg iawvcaud iawfenub "ECcawfiLwm"  Wjcaukcaenwa cSwriaWnub ?"EhcaeCcaea cnok  Inwf Inwf" ukwjcaukcaea emukun ukwjcauked cniaeret  egcniduk Whiruh cnunEb cnWvireviawb uriaELuk  urwviLukim .caerwviLuk ELukcnidukwDuk (1)	m	
UgwdnuaegInwf	.evemuvctogWvwluDoh ,iaWmuvuduhOl iaWmuvunctihWk  IkwkwtctWmWlwA egulugwdnuaim .Ugwdnua  Wv cnubwbws egcaeNcnwf Edefua iawguDnwb	n	
utwburwsInwf	.caehEb Wyid Wlwhwrinof EdWmIvinwf	n	
cnuaidcnulufunwf	.cnulcnulufunwf :uzWjwm	m	
cnulcnulufunwf	.cnuaidihejun ukWtcnukWt caemwkiawa cnumwruk  ukeaWdImcaua :uzWjwm (2) .cnuTcaev csogiawfiawl  cnitwmcnwf itekwt caeawb uriaWLwaukur (1)	m	
cnuhejUfunwf	.cnuvirit cSwnef wlwm  eguSwr cSwrwvEhej iawgunef iruk egunwf egukurcaur	m	
enwf	.cnwf (.g)	n	
WLuhenwf	.uLuhcnwf (2)  .cnwf WrukurWycawt cnwyiv ilwSot (1) (.g)	n	
etwfenwf	.ctwvcnwf (.g)	n	
wlcaOnwf	.utwsWyis egumwkirev (.db)	n	
cnuvogctOnwf	.eveaInubil caeTcniaop  cSwkwywb ivog ctOnwf cnumuvcnehim .cnulWvog cnehim  "ctOnwf" iawfiawlctwa iawgItea iruh iawfiawTcawhwb  wtwvun iawgiawg WhImwncnuh cSwkwnwf ,csogevunutwa  cSwkwhIm egiawbuLokidia ,uriaELukcnwf	m	
cnwf	.caeDnwgiSwtcsia cnwf .caelobcnwf :ulWsim  .eveSwDnwgiSwtcsia cten caeNcnWbuLWr ,caemwkiLub  ,Inevedwfisim .caeawfis Eved cSwDnwgiSwtcsia  .an (3) (!Wlwb cnuLukcnwf) .caerwviLuk  ELuk (2) .ctwf eguhwgcswg Wyik Ekur (1)	n	
cswmWhcnwf	.evekehwm  wncnuh iawgcaekwtwluk utWfwt itIr cSwrwv Iaim  .eveawlWvuLof iawbirwtok cnumuawaiLur ,eveaenWncnuh  caekwtiSwk wdwgwhiv cSwrwv iawgiawb irwtok  egIm .caehwm wncnuh caeawbirwtok uDob ELua iawgEret  egukwtWg iaWawkwrum ,iawguLwfuLwf iaWrwfurwf	n	
iLodnihcnwf	.udemed Wkur iaWtWrwfItwm egukwtuDub egunwf ,uria  wncnuh iawfiawlurwh iawgukur uDub egunwf egukur	n	
urwbihcnwf	.eveaeruh  cSwhwruh eguhwm cSwtogWv cSwkwgnor caekwtcawl  egiawluk UnuDnwf iawgItwmirwaed .eveawgcaeawlukuduh  Inwncnuh ctWrwf cSoduDnwb .eveawluk Un  uLwk Ikwawluk egItwmiSwkwrub .eveaeruh iawbirwtoked  iawgutWrwf cSwduDnwb iaWycawgItwmiSwkwrub  egIm .caetwvWb egurwbih ELua iawguDnwk	n	
itihcnwf	.everwvcaekufiver  uDob InWvcaeSoa egIm .eveaenWncnuh caekwtcSoa  iduk iawguDub egcaetwf emcnok .eveSokiduk InWncnuh  cawtctwf eguhwgim .caehwg wncnuh ctwf cnehcaenwf  egukur Edeh cSwnimcsua egcaeTUf cSwkwDnwgctWg	n	
iLugnuhcnwf	.Ugnwhcnwf	n	
Ugnuhcnwf	.iruk egunwf	n	
iLuhcnwf	.iDnob wncnuh iawfednwb  cSokcaea cawtctwvcnwf wncnuh iawfiawscairik	n	
WhiLuhcnwf	.caerwtcawv egudniLwb	n	
uLuhcnwf	.evekeCcaea Wdwh cSwmurukOr cnWfilwa cSwmurukcnunEb  iawgutog egcaemwkilwa iaWSwmuaidcneg cSwnwtcaenwa  cnunwtcaea cnWfilwa Iaim .caeaiDnob wncnoa  iawfednwb cSokcaea ctwvcnwf wtwvun cnwfikih	n	
orwbehcnwf	.urwbihcnwf (.N)	n	
iLohcnwf	.evekeCcaea Wdwh cnwvcaud iawgItwmugwm  iawgutog egcaerwviLuk ,cnIdukwDuk Iaim .caeCcaea  wncnoa iawfiawdwh cSokcSwv cnukwLok ctwvcnwfOr	n	
ctwncnwf	.ctwvcnwf (.s)	n	
cnwyirctwncnwf	.uriaum egutwvcnwf (.s)	n	
wmwyirctwncnwf	.uriaum egutwvcnwf (.s)	n	
Wncnwf	.caeNcnwf Erid (.g)	n	
Incnwf	.iruh cnwkirevurwnuh egcaemwk	an	
uncnwf	.Wmidwmid wBcaWK  Wbiawf iawrwa cSwSoduDnog (2) .urwnuh (1)	n	
cswmuncnwf	.cswm Ed Elih cSwncnuhIm Wd cSwnwtea  uriaELua cnegiawfwl cnuhwm urwhwfinOdcswm	n	
encnwf	.uncnwf (.g)	n	
wlcaencnwf	.iDnobcnwf wncnuh iawfiawscairik (g)	n	
whwmencnwf	.cswmuncnwf (.N)	n	
cswmencnwf	.cswmuncnwf (.s)	n	
Wyircnwf	.Wyir cnwkcserwtwh wncnoa iawfeyiv cnunwf	n	
cnunwbcnwf	.cnuscaeacnwf iawgulwv WrukcnunEb iawgumul  udor (2) .cnuscaea ctwvcnwf cnutog egumuruk  wgwhWf caur Wdcnumwnug ,iawgumunugcaur (1)	m	
ctibcnwf	.ctib wncnuh iawfiawdwh cnunwf	n	
urubcnwf	.WDwj	n	
cniaubcnwf	.cnulctwa iawgunwf iawvog ctOnwf ,uriaELukcnwf	m	
iDubcnwf	.iSotcnwf (.l)	n	
uDubcnwf	.uDub iSotcnwf  (2) .udemed WbWsih wncnuh ctwvcnwf cnegiSef  cnuLokwncnuh iawfevurwh iawgukur ,egunwf (1)	n	
idnobcnwf	.iTufij wncnuhiawfiawdwh cnunwfiDnwd	n	
iDnobcnwf	.iDnob wncnuhiawfiawLoa cSokcaea uDnwgurwtwh  egunwf wncnuh iawfediv (3) .cnwf wncnuh  iawfednwb cSokcaea (2) .iDnobigcnwf (1)	n	
Obcnwf	.wnigcnwf  .an (2) .uDnwgiSwtcsiacnwf (1)	n	
wkcnwf	.urwvcnwd (2) .wfUr (1) (.db)	an	
urIkwnwkcnwf	.wmwyih (.m)	n	
urIfwnwkcnwf	.caehwm urwtcawv wnWf	n	
Wmwmwkcnwf	.ifwruk Ilwyif (.a)	n	
Wkcnwf	.eveawnigcSwrwv cawturwtcawv  egIm .caeCcaea WrukcnunEb cnwscawjiawv	n	
WhWkcnwf	.Wkcnwf (.g)	n	
wrWkcnwf	.cnuhIm egWmit (.db)	n	
caurWkcnwf	.eveawdwh Wkcnwf  cnunwf egukurim .caekur wncnuh cnwf cSokcSwv	n	
